Pokemon,tipos_en_moves,Cluster_P2
Ferrothorn,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Flying Flying Flying Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel Steel Steel,8
Finneon,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Poison Poison Poison Ground Ground Flying Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Bug Rock Rock Ghost Ghost Ghost Dragon Dragon Dragon Dark Dark Dark Steel Steel Fairy Fairy,18
Flaaffy,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Water Water Water Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Steel Steel Steel,10
Flabebe,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Fighting Fighting Poison Poison Poison Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Rock Rock Ghost Ghost Dragon Dragon Dragon Dark Dark Steel Steel Fairy Fairy Fairy Fairy Fairy,17
Flareon,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Water Electric Electric Grass Grass Ice Ice Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Ground Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Bug Bug Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Steel Steel Steel Fairy Fairy,13
Fletchinder,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Electric Electric Grass Grass Ice Ice Fighting Fighting Fighting Poison Poison Poison Ground Ground Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Steel Steel Steel Steel,13
Fletchling,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Water Water Electric Electric Grass Grass Ice Ice Fighting Fighting Fighting Poison Poison Poison Ground Ground Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Steel Steel Steel Steel,0
Floatzel,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel,18
Floette,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Fighting Fighting Poison Poison Poison Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Rock Rock Ghost Ghost Dragon Dragon Dragon Dark Dark Steel Steel Fairy Fairy Fairy Fairy Fairy,17
Floette-Eternal,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Fighting Fighting Poison Poison Poison Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Rock Rock Ghost Ghost Dragon Dragon Dragon Dark Dark Steel Steel Fairy Fairy Fairy Fairy Fairy Fairy,17
Florges,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Fighting Fighting Poison Poison Poison Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Rock Rock Ghost Ghost Dragon Dragon Dragon Dark Dark Steel Steel Fairy Fairy Fairy Fairy Fairy Fairy Fairy,17
Flygon,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Electric Electric Electric Grass Grass Grass Grass Ice Ice Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel,5
Foongus,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Electric Electric Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Grass Ice Ice Fighting Fighting Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Ground Ground Flying Flying Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Steel Steel,17
Forretress,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Electric Electric Electric Electric Electric Grass Grass Grass Grass Ice Ice Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Bug Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Dragon Dragon Dark Dark Dark Steel Steel Steel Steel Steel Steel Steel Steel,1
Fraxure,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Water Water Water Water Electric Electric Electric Grass Grass Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Ground Ground Ground Flying Flying Flying Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel,5
Frillish,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Steel Steel Fairy,18
Froakie,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Ground Ground Ground Ground Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Dark Steel Steel,18
Frogadier,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel,18
Froslass,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Water Water Water Water Water Electric Electric Electric Electric Electric Electric Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel,9
Furfrou,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Water Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Ice Ice Fighting Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Fairy Fairy,4
Furret,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Water Water Water Water Water Water Water Water Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Fairy,4
Gabite,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Water Water Water Electric Electric Grass Grass Ice Ice Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Steel Steel Steel Steel Steel,5
Gallade,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Water Water Water Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Fairy Fairy Fairy Fairy Fairy,11
Galvantula,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Water Water Water Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Ice Ice Fighting Fighting Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Ground Ground Ground Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Rock Rock Rock Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Dark Steel Steel,7
Garbodor,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Electric Electric Electric Electric Grass Grass Grass Grass Grass Ice Ice Ice Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Steel Steel,3
Gardevoir,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Water Water Water Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Fairy Fairy Fairy Fairy Fairy Fairy,11
Gastly,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Water Water Water Electric Electric Electric Electric Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Fighting Fighting Poison Poison Poison Poison Poison Poison Poison Poison Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Fairy,15
Gastrodon,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Water Water Water Water Water Water Water Water Water Water Water Water Water Water Electric Electric Electric Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Steel Steel,2
Genesect,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Water Water Electric Electric Electric Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Ice Ice Ice Ice Ice Fighting Fighting Poison Poison Poison Poison Ground Ground Ground Ground Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Bug Rock Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel Steel Steel Steel,7
Gengar,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Water Water Water Electric Electric Electric Electric Electric Grass Grass Grass Grass Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Poison Poison Poison Poison Poison Poison Poison Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Fairy,15
Geodude,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Fire Fire Water Water Electric Electric Electric Electric Grass Grass Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Steel Steel Steel Steel Steel,1
Gible,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Fire Fire Fire Water Water Water Electric Electric Grass Grass Ice Ice Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Steel Steel Steel Steel Steel,5
Gigalith,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Water Water Electric Electric Grass Grass Grass Ice Ice Fighting Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Bug Bug Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Steel Steel Steel Steel Steel Steel Steel,1
Girafarig,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Grass Grass Ice Ice Fighting Fighting Fighting Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Fairy,11
Giratina,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Water Water Water Water Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Ice Ice Ice Fighting Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel,5
Giratina-Origin,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Fire Water Water Water Water Electric Electric Electric Electric Electric Electric Electric Grass Grass Grass Ice Ice Ice Fighting Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Ground Ground Ground Ground Flying Flying Flying Flying Flying Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Bug Rock Rock Rock Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dragon Dark Dark Dark Dark Dark Dark Steel Steel Steel Steel Steel Steel,5
Glaceon,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Fire Water Water Water Water Water Water Electric Electric Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Steel Steel Steel Fairy Fairy,4
Glalie,Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Normal Fire Fire Water Water Water Water Water Water Electric Electric Grass Grass Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Ice Fighting Fighting Poison Poison Poison Ground Ground Ground Ground Ground Flying Flying Psychic Psychic Psychic Psychic Bug Bug Bug Rock Rock Rock Ghost Ghost Ghost Ghost Ghost Dragon Dragon Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Dark Steel Steel Steel Steel,9
